DAY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1,96.10,87.12,107.4,177.4,239.1,322.7,331.5,260.6,236.7,146.8,126.9,106.2
2,93.79,88.54,184.9,198.2,255.5,350.8,317.6,254.1,238.4,151.7,260.8,105.5
3,94.87,86.73,169.4,213.2,265.2,365.3,335.8,247.6,233.7,158.4,177.6,103.9
4,96.26,87.57,152.4,222.2,235.0,380.6,342.5,256.2,218.8,166.2,162.7,103.8
5,93.90,88.12,148.7,211.8,223.6,410.4,336.3,261.3,205.7,175.2,147.8,102.2
6,90.21,85.10,145.8,202.5,235.4,442.4,303.5,265.1,197.9,182.9,142.4,104.2
7,91.21,82.93,144.3,186.4,247.4,414.9,293.5,333.1,191.6,179.0,139.1,103.3
8,95.01,85.13,136.5,254.4,238.0,408.4,284.7,385.9,186.5,175.4,148.3,102.9
9,98.98,84.91,133.9,326.3,229.4,413.4,275.4,354.5,183.9,185.9,142.5,112.3
10,94.11,83.66,141.2,306.0,226.5,419.8,291.3,324.8,180.6,192.1,137.4,121.2
11,90.63,80.75,135.9,316.5,240.2,426.3,299.2,323.3,186.3,184.2,136.7,131.7
12,95.94,94.17,127.1,298.3,297.9,414.0,398.2,315.0,195.8,173.4,135.6,122.0
13,98.89,109.1,158.7,295.0,294.3,426.8,317.6,307.3,185.9,167.4,141.0,113.8
14,101.3,119.0,299.0,279.7,290.1,430.4,320.7,305.1,183.2,164.1,141.1,111.2
15,94.56,115.6,221.2,287.8,272.3,424.4,324.5,301.5,197.0,160.7,151.7,107.6
16,91.07,102.4,189.7,296.1,262.1,418.6,325.3,291.3,188.8,165.0,148.7,106.0
17,96.39,94.66,164.5,282.0,256.1,423.5,315.5,294.5,179.9,201.7,136.7,104.1
18,102.6,87.98,153.4,286.9,243.7,427.3,370.2,289.0,178.3,179.5,134.5,101.9
19,106.0,88.33,148.4,289.1,245.1,414.3,345.8,279.3,176.4,164.0,131.7,101.4
20,101.2,89.80,143.9,290.9,229.2,421.7,339.9,268.6,172.9,155.8,127.1,99.70
21,96.18,95.60,141.3,298.1,213.7,425.7,360.9,265.8,172.0,152.1,113.1,99.15
22,91.48,101.2,148.1,295.0,204.3,416.0,388.2,269.2,170.1,148.3,105.8,98.79
23,86.74,103.5,153.7,290.6,199.1,425.5,415.3,266.6,170.6,144.0,103.5,96.54
24,91.85,112.2,159.6,234.9,193.2,434.9,405.3,262.6,170.9,144.1,87.03,94.50
25,97.31,101.7,166.5,233.2,188.6,443.9,341.1,250.6,160.8,142.2,92.42,95.53
26,100.7,99.07,157.2,225.8,206.8,393.5,344.5,247.1,161.0,138.2,97.57,93.28
27,102.5,100.3,154.6,215.5,228.9,326.5,356.7,244.1,160.9,135.2,102.2,93.43
28,103.9,96.66,158.4,203.2,250.6,294.9,328.6,244.3,151.3,133.5,104.7,91.74
29,92.40,95.07,153.6,211.8,277.0,273.9,312.2,245.7,146.1,130.8,106.6,90.45
30,90.66,,156.3,220.2,290.0,346.3,295.2,240.8,146.2,124.4,107.8,90.95
31,88.66,,156.6,,313.0,,273.1,234.3,,126.3,,90.77